,account_id,company_size,num_users_10days,engagement_ratio,type
658,XLSEUNNRLS,2.Mid-Market,4,,Customer
659,XLUL6LGJLP,2.Mid-Market,3,90.0,Customer
660,XOMXLVZ4QK,2.Mid-Market,12,11.787072243346007,Customer
661,XPJ4HNRIUU,3.Enterprise,3,53.84615384615385,Customer
662,XQ8VA8X8L0,2.Mid-Market,3,25.0,Customer
663,XSFH4GG244,3.Enterprise,3,60.9375,Customer
664,XT54FN5G77,2.Mid-Market,43,0.09649768405558266,Customer
665,XUX1OXRWK8,3.Enterprise,34,103.49127182044889,Customer
666,XVA1NKBTFS,3.Enterprise,4,8.928571428571429,Customer
667,XXVA2IEUC1,2.Mid-Market,0,1.1428571428571428,Customer
668,XYJOA21A6X,3.Enterprise,15,11.77587844254511,Customer
669,XYVGIUI9KK,2.Mid-Market,5,70.96774193548387,Customer
670,Y39BU4UZ2Z,2.Mid-Market,0,0.7407407407407408,Customer
671,Y3Z1DE1E16,2.Mid-Market,163,27.605582744245062,Customer
672,Y595CPJZE1,2.Mid-Market,0,0.853658536585366,Customer
673,Y5SIC4S8PN,2.Mid-Market,2,1.0582010582010581,Customer
674,Y8NYFWDC11,3.Enterprise,28,48.46356453028973,Customer
675,YAR821UZVG,2.Mid-Market,9,78.90625,Customer
676,YCZU80ZRZ7,2.Mid-Market,0,52.0,Customer
677,YFDS0DJI9K,2.Mid-Market,5,313.04347826086956,Customer
678,YH523GGODL,3.Enterprise,251,76.95837430350704,Customer
679,YHETKDUWTN,2.Mid-Market,5,52.17391304347826,Customer
680,YHXSO7VBGR,2.Mid-Market,1,11.76470588235294,Customer
681,YLEMRUYP04,3.Enterprise,12,82.08955223880598,Customer
682,YM33MG1ZAQ,3.Enterprise,27,79.66101694915254,Customer
683,YO8DJE7XQT,2.Mid-Market,0,19.35483870967742,Customer
684,YR06NKWFG3,2.Mid-Market,2,15.658362989323843,Customer
685,YV37DIA5U6,2.Mid-Market,1,37.0,Customer
686,YYCJ4Q0RR1,3.Enterprise,7,40.98360655737705,Customer
687,YZ7SRCBPLJ,2.Mid-Market,10,96.0,Customer
688,Z1R2ROIKS6,2.Mid-Market,0,2.6785714285714284,Customer
689,Z4PPJ590EM,2.Mid-Market,9,54.09836065573771,Customer
690,Z52QZSKHZT,2.Mid-Market,14,21.59090909090909,Customer
691,Z8Q4VHU4BA,2.Mid-Market,22,,Customer
692,Z8UUG95RLR,3.Enterprise,3,88.09523809523809,Customer
693,ZC7FOV2YGN,3.Enterprise,17,4.606830818109611,Customer
694,ZEBU2Y0OY5,2.Mid-Market,0,10.714285714285714,Customer
695,ZEEDHHJSHZ,3.Enterprise,0,0.17006802721088435,Customer
696,ZF761HJR6E,3.Enterprise,4,38.70967741935484,Customer
697,ZH13CD5GLQ,2.Mid-Market,8,70.22900763358778,Customer
698,ZHWJR64DPJ,2.Mid-Market,5,36.666666666666664,Customer
699,ZIRNK6ZHH3,2.Mid-Market,0,3.614457831325301,Customer
700,ZJSSZWD0W9,2.Mid-Market,20,93.43065693430657,Customer
701,ZN0THL2C53,3.Enterprise,4,18.181818181818183,Customer
702,ZN9DDE3CUP,3.Enterprise,2,137.5,Customer
703,ZP08J3TRP0,3.Enterprise,5,89.47368421052632,Customer
704,ZPEAL2W37D,2.Mid-Market,0,33.87096774193548,Customer
705,ZQY72WX7PT,3.Enterprise,12,45.893719806763286,Customer
706,ZSB6ZWKHE9,3.Enterprise,0,0.27548209366391185,Customer
707,ZTBVHUAZUN,3.Enterprise,3,13500.0,Customer
